index;prerequisite;advanced;m1;m2;m2_sentence;m3;m4;m4a;m4b;m5
11933;TRANSMISSION CONTROL PROTOCOL/INTERNET PROTOCOL NETWORK;PHONE NETWORK;0;;;;;;;-0.20
11934;TRANSPORT LAYER;PHONE NETWORK;0;;;;;;;-0.20
11935;TROJAN HORSE;PHONE NETWORK;0;;;;;;;-1.75
11936;UNIFORM RESOURCE LOCATOR;PHONE NETWORK;0;;;;;;;0.00
11937;USER DATAGRAM PROTOCOL;PHONE NETWORK;0;;;;;;;-1.00
11938;VIRUS;PHONE NETWORK;0;;;;;;;-1.75
11939;VOICE OVER INTERNET PROTOCOL;PHONE NETWORK;0;;;;;;;-0.20
11940;WEBSERVER;PHONE NETWORK;0;;;;;;;0.00
11941;WIDE AREA NETWORK;PHONE NETWORK;0;;;;;;;0.00
11942;WIRELESS NETWORK;PHONE NETWORK;0;;;;;;;1.00
11943;WORLD WIDE WEB;PHONE NETWORK;0;;;;;;;0.00
11944;WORM;PHONE NETWORK;0;;;;;;;-1.75
11945;SECOND GENERATION;PHONE NETWORK;0;;;;;;;-1.00
11946;EMAIL;PHONE NETWORK;0;;;;;;;-0.50
11947;CLIENT-SIDE;PHONE NETWORK;0;;;;;;;0.00
11948;SERVER-SIDE;PHONE NETWORK;0;;;;;;;0.00
11949;SERVLET;PHONE NETWORK;0;;;;;;;0.00
11950;WEBSERVERS;PHONE NETWORK;0;;;;;;;0.00
11951;4G;PHONE NETWORK;0;;;;;;;0.50
11952;ANTIVIRUS SOFTWARE;PHONE NETWORK;0;;;;;;;-1.75
11953;SEARCH ENGINE;PHONE NETWORK;0;;;;;;;0.40
11954;WIFI NETWORK;PHONE NETWORK;0;;;;;;;0.00
11955;1G;PHP;0;;;;;;;0.50
11956;3G;PHP;0;;;;;;;0.50
11957;ACCESS INTERNET SERVICE PROVIDER;PHP;0;;;;;;;0.00
11958;ACCESS POINT;PHP;0;;;;;;;0.00
11959;ACTIVE SERVER PAGE;PHP;0;;;;;;;0.00
11960;ADDRESSING SYSTEM;PHP;0;;;;;;;0.00
11961;APPLICATION LAYER;PHP;0;;;;;;;0.00
11962;AUDITING SOFTWARE;PHP;0;;;;;;;-1.00
11963;BIT PATTERN;PHP;0;;;;;;;-0.25
11964;BODY;PHP;0;;;;;;;0.50
11965;BRIDGE;PHP;0;;;;;;;1.00
11966;BROWSER;PHP;0;;;;;;;0.00
11967;BUS;PHP;0;;;;;;;0.00
11968;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;PHP;0;;;;;;;0.25
11969;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;PHP;0;;;;;;;0.25
11970;CERTIFICATE;PHP;0;;;;;;;-1.00
11971;CERTIFICATE AUTHORITY;PHP;0;;;;;;;-1.00
11972;CLIENT;PHP;0;;;;;;;0.00
11973;CLIENT SIDE;PHP;0;;;;;;;0.00
11974;CLIENT/SERVER MODEL;PHP;0;;;;;;;1.00
11975;CLOUD COMPUTING;PHP;0;;;;;;;0.75
11976;CLUSTER COMPUTE;PHP;0;;;;;;;1.00
11977;COLLISION AVOIDANCE;PHP;0;;;;;;;0.25
11978;COLLISION DETECTION;PHP;0;;;;;;;0.25
11979;COMPUTER;PHP;0;;;;;;;0.00
11980;COMPUTER SYSTEM;PHP;0;;;;;;;0.00
11981;CONTENT DELIVERY NETWORK;PHP;0;;;;;;;0.50
11982;DENIAL OF SERVICE;PHP;0;;;;;;;-1.00
11983;DIGITAL SIGNATURE;PHP;0;;;;;;;-1.00
11984;DISTRIBUTED SYSTEM;PHP;0;;;;;;;0.00
11985;DOMAIN;PHP;0;;;;;;;0.00
11986;DOMAIN NAME;PHP;0;;;;;;;0.00
11987;DOMAIN NAME SYSTEM;PHP;0;;;;;;;0.00
11988;ENCRYPTION;PHP;0;;;;;;;-1.00
11989;END SYSTEM;PHP;0;;;;;;;0.00
11990;END USER;PHP;0;;;;;;;0.00
11991;ETHERNET NETWORK;PHP;0;;;;;;;0.00
11992;EXTENSIBLE MARKUP LANGUAGE;PHP;0;;;;;;;0.00
11993;FILE SERVER;PHP;0;;;;;;;0.00
11994;FILE TRANSFER PROTOCOL;PHP;0;;;;;;;0.00
11995;FIREWALL;PHP;0;;;;;;;-1.00
11996;FORWARDING TABLE;PHP;0;;;;;;;0.00
11997;GATEWAY;PHP;0;;;;;;;0.00
11998;GRID COMPUTE;PHP;0;;;;;;;1.00
11999;HEAD;PHP;0;;;;;;;1.00
12000;HIDDEN TERMINAL PROBLEM;PHP;0;;;;;;;1.00
12001;HOP COUNT;PHP;0;;;;;;;-0.75
12002;HOT SPOT;PHP;0;;;;;;;0.50
12003;HUB;PHP;0;;;;;;;1.00
12004;HYPERTEXT;PHP;0;;;;;;;0.00
12005;HYPERTEXT DOCUMENT;PHP;0;;;;;;;0.00
12006;HYPERTEXT MARKUP LANGUAGE;PHP;0;;;;;;;0.00
12007;HYPERTEXT TRANSFER PROTOCOL;PHP;0;;;;;;;0.00
12008;HYPERTEXT TRANSFER PROTOCOL SERVER;PHP;0;;;;;;;0.00
12009;INSTANT MESSAGING;PHP;0;;;;;;;0.75
12010;INTERNET;PHP;0;;;;;;;0.00
12011;INTERNET INFRASTRUCTURE;PHP;0;;;;;;;0.00
12012;INTERNET MAIL ACCESS PROTOCOL;PHP;0;;;;;;;0.00
12013;INTERNET PROTOCOL;PHP;0;;;;;;;0.00
12014;INTERNET PROTOCOL ADDRESS;PHP;0;;;;;;;0.00
12015;INTERNET PROTOCOL NETWORK;PHP;0;;;;;;;0.00
12016;INTERNET SERVICE PROVIDER;PHP;0;;;;;;;0.00
12017;INTERNET SOFTWARE;PHP;0;;;;;;;0.00
12018;INTERNET2;PHP;0;;;;;;;0.50
12019;INTERPROCESS COMMUNICATION;PHP;0;;;;;;;1.00
12020;INTRANET;PHP;0;;;;;;;-0.25
12021;JAVASERVER PAGE;PHP;0;;;;;;;0.00
12022;LINK LAYER;PHP;0;;;;;;;0.00
12023;LOCAL AREA NETWORK;PHP;0;;;;;;;0.75
12024;MAGNETIC DISK;PHP;0;;;;;;;1.00
12025;MAIL SERVER;PHP;0;;;;;;;0.00
12026;MALICIOUS SOFTWARE;PHP;0;;;;;;;-1.00
12027;MASS STORAGE;PHP;0;;;;;;;0.00
12028;METROPOLITAN AREA NETWORK;PHP;0;;;;;;;0.75
12029;MNEMONIC ADDRESS;PHP;0;;;;;;;0.00
12030;MNEMONIC DOMAIN NAME;PHP;0;;;;;;;0.00
12031;NAME SERVER;PHP;0;;;;;;;0.00
12032;NETWORK;PHP;0;;;;;;;0.00
12033;NETWORK LAYER;PHP;0;;;;;;;0.00
12034;NETWORK NEWS TRANSFER PROTOCOL;PHP;0;;;;;;;0.50
12035;NETWORK SOFTWARE;PHP;0;;;;;;;0.00
12036;OPEN NETWORK;PHP;0;;;;;;;0.00
12037;PEER-TO-PEER MODEL;PHP;0;;;;;;;0.75
12038;PERSONAL AREA NETWORK;PHP;0;;;;;;;0.75
12039;PHISHING;PHP;0;;;;;;;-1.00
12040;PHONE NETWORK;PHP;0;;;;;;;0.00
12041;PORT NUMBER;PHP;0;;;;;;;0.00
12042;POST OFFICE PROTOCOL VERSION 3;PHP;0;;;;;;;0.00
12043;PRINT SERVER;PHP;0;;;;;;;1.00
12044;PRIVATE-KEY;PHP;0;;;;;;;-1.00
12045;PROTOCOL;PHP;0;;;;;;;0.00
12046;PROXY SERVER;PHP;0;;;;;;;-1.00
12047;PUBLIC-KEY;PHP;0;;;;;;;-0.25
12048;PUBLIC-KEY ENCRYPTION;PHP;0;;;;;;;-1.00
12049;REGISTERED DOMAIN;PHP;0;;;;;;;0.50
12050;REMOTE MAIL SERVER;PHP;0;;;;;;;0.00
12051;REMOTE SERVER;PHP;0;;;;;;;0.00
12052;REPEATER;PHP;0;;;;;;;1.00
12053;ROUTER;PHP;0;;;;;;;0.00
12054;SECURE SHELL;PHP;0;;;;;;;0.00
12055;SECURE SOCKET LAYER;PHP;0;;;;;;;-1.00
12056;SERVER;PHP;0;;;;;;;0.00
12057;SERVER SIDE;PHP;0;;;;;;;0.00
12058;SERVLETS;PHP;0;;;;;;;0.00
12059;SIMPLE MAIL TRANSFER PROTOCOL;PHP;0;;;;;;;0.00
12060;SOFTWARE;PHP;0;;;;;;;0.00
12061;SPYWARE;PHP;0;;;;;;;-1.00
12062;STAR;PHP;0;;;;;;;0.00
12063;SUBDOMAINS;PHP;0;;;;;;;0.50
12064;SWITCH;PHP;0;;;;;;;0.75
12065;TAG;PHP;0;;;;;;;0.00
12066;TIER-1 INTERNET SERVICE PROVIDER;PHP;0;;;;;;;0.50
12067;TIER-2 INTERNET SERVICE PROVIDER;PHP;0;;;;;;;0.50
12068;TIER-3 INTERNET SERVICE PROVIDER;PHP;0;;;;;;;0.50
12069;TOP-LEVEL DOMAINS;PHP;0;;;;;;;0.50
12070;TRADITIONAL TELEPHONE;PHP;0;;;;;;;0.00
12071;TRANSMISSION CONTROL PROTOCOL;PHP;0;;;;;;;0.00
12072;TRANSMISSION CONTROL PROTOCOL/INTERNET PROTOCOL NETWORK;PHP;0;;;;;;;0.00
12073;TRANSPORT LAYER;PHP;0;;;;;;;0.00
12074;TROJAN HORSE;PHP;0;;;;;;;-1.00
12075;UNIFORM RESOURCE LOCATOR;PHP;0;;;;;;;-0.50
12076;USER DATAGRAM PROTOCOL;PHP;0;;;;;;;-0.50
12077;VIRUS;PHP;0;;;;;;;-1.00
12078;VOICE OVER INTERNET PROTOCOL;PHP;0;;;;;;;0.00
12079;WEBSERVER;PHP;0;;;;;;;-0.25
12080;WIDE AREA NETWORK;PHP;0;;;;;;;0.00
12081;WIRELESS NETWORK;PHP;0;;;;;;;0.75
12082;WORLD WIDE WEB;PHP;0;;;;;;;0.00
12083;WORM;PHP;0;;;;;;;-1.00
12084;SECOND GENERATION;PHP;0;;;;;;;-0.25
12085;EMAIL;PHP;0;;;;;;;0.00
12086;CLIENT-SIDE;PHP;0;;;;;;;0.00
12087;SERVER-SIDE;PHP;0;;;;;;;0.00
12088;SERVLET;PHP;0;;;;;;;0.00
12089;WEBSERVERS;PHP;0;;;;;;;-0.25
12090;4G;PHP;0;;;;;;;0.50
12091;ANTIVIRUS SOFTWARE;PHP;0;;;;;;;-1.00
12092;SEARCH ENGINE;PHP;0;;;;;;;1.00
12093;WIFI NETWORK;PHP;0;;;;;;;0.00
12094;1G;PORT NUMBER;0;;;;;;;1.25
12095;3G;PORT NUMBER;0;;;;;;;1.25
12096;ACCESS INTERNET SERVICE PROVIDER;PORT NUMBER;0;;;;;;;0.00
12097;ACCESS POINT;PORT NUMBER;0;;;;;;;0.00
12098;ACTIVE SERVER PAGE;PORT NUMBER;0;;;;;;;0.00
12099;ADDRESSING SYSTEM;PORT NUMBER;0;;;;;;;1.00
12100;APPLICATION LAYER;PORT NUMBER;0;;;;;;;0.00
12101;AUDITING SOFTWARE;PORT NUMBER;0;;;;;;;-1.00
12102;BIT PATTERN;PORT NUMBER;0;;;;;;;0.00
12103;BODY;PORT NUMBER;0;;;;;;;0.70
12104;BRIDGE;PORT NUMBER;0;;;;;;;1.00
12105;BROWSER;PORT NUMBER;0;;;;;;;0.00
12106;BUS;PORT NUMBER;0;;;;;;;0.00
12107;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;PORT NUMBER;0;;;;;;;0.70
12108;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;PORT NUMBER;0;;;;;;;0.70
12109;CERTIFICATE;PORT NUMBER;0;;;;;;;-1.00
12110;CERTIFICATE AUTHORITY;PORT NUMBER;0;;;;;;;-1.00
12111;CLIENT;PORT NUMBER;0;;;;;;;0.00
12112;CLIENT SIDE;PORT NUMBER;0;;;;;;;0.00
12113;CLIENT/SERVER MODEL;PORT NUMBER;0;;;;;;;1.00
12114;CLOUD COMPUTING;PORT NUMBER;0;;;;;;;1.30
12115;CLUSTER COMPUTE;PORT NUMBER;0;;;;;;;1.00
12116;COLLISION AVOIDANCE;PORT NUMBER;0;;;;;;;0.70
12117;COLLISION DETECTION;PORT NUMBER;0;;;;;;;0.70
12118;COMPUTER;PORT NUMBER;0;;;;;;;0.00
12119;COMPUTER SYSTEM;PORT NUMBER;0;;;;;;;0.00
12120;CONTENT DELIVERY NETWORK;PORT NUMBER;0;;;;;;;1.25
12121;DENIAL OF SERVICE;PORT NUMBER;0;;;;;;;-1.00
12122;DIGITAL SIGNATURE;PORT NUMBER;0;;;;;;;-1.00
12123;DISTRIBUTED SYSTEM;PORT NUMBER;0;;;;;;;1.00
12124;DOMAIN;PORT NUMBER;0;;;;;;;0.00
12125;DOMAIN NAME;PORT NUMBER;0;;;;;;;0.00
12126;DOMAIN NAME SYSTEM;PORT NUMBER;0;;;;;;;0.00
12127;ENCRYPTION;PORT NUMBER;0;;;;;;;-1.00
12128;END SYSTEM;PORT NUMBER;0;;;;;;;0.00
12129;END USER;PORT NUMBER;0;;;;;;;0.00
12130;ETHERNET NETWORK;PORT NUMBER;0;;;;;;;1.00
12131;EXTENSIBLE MARKUP LANGUAGE;PORT NUMBER;0;;;;;;;0.00
12132;FILE SERVER;PORT NUMBER;0;;;;;;;0.00
12133;FILE TRANSFER PROTOCOL;PORT NUMBER;0;;;;;;;0.00
12134;FIREWALL;PORT NUMBER;0;;;;;;;-1.00
12135;FORWARDING TABLE;PORT NUMBER;0;;;;;;;0.00
12136;GATEWAY;PORT NUMBER;0;;;;;;;0.55
12137;GRID COMPUTE;PORT NUMBER;0;;;;;;;1.00
12138;HEAD;PORT NUMBER;0;;;;;;;1.00
12139;HIDDEN TERMINAL PROBLEM;PORT NUMBER;0;;;;;;;1.00
12140;HOP COUNT;PORT NUMBER;0;;;;;;;-1.00
12141;HOT SPOT;PORT NUMBER;0;;;;;;;1.25
12142;HUB;PORT NUMBER;0;;;;;;;1.00
12143;HYPERTEXT;PORT NUMBER;0;;;;;;;0.00
12144;HYPERTEXT DOCUMENT;PORT NUMBER;0;;;;;;;0.00
12145;HYPERTEXT MARKUP LANGUAGE;PORT NUMBER;0;;;;;;;0.00
12146;HYPERTEXT TRANSFER PROTOCOL;PORT NUMBER;0;;;;;;;0.00
12147;HYPERTEXT TRANSFER PROTOCOL SERVER;PORT NUMBER;0;;;;;;;0.00
12148;INSTANT MESSAGING;PORT NUMBER;0;;;;;;;1.30
12149;INTERNET;PORT NUMBER;0;;;;;;;0.00
12150;INTERNET INFRASTRUCTURE;PORT NUMBER;0;;;;;;;1.00
12151;INTERNET MAIL ACCESS PROTOCOL;PORT NUMBER;0;;;;;;;0.00
12152;INTERNET PROTOCOL;PORT NUMBER;0;;;;;;;0.00
12153;INTERNET PROTOCOL ADDRESS;PORT NUMBER;0;;;;;;;0.00
12154;INTERNET PROTOCOL NETWORK;PORT NUMBER;0;;;;;;;0.00
12155;INTERNET SERVICE PROVIDER;PORT NUMBER;0;;;;;;;0.00
12156;INTERNET SOFTWARE;PORT NUMBER;0;;;;;;;0.00
12157;INTERNET2;PORT NUMBER;0;;;;;;;1.25
12158;INTERPROCESS COMMUNICATION;PORT NUMBER;0;;;;;;;1.00
12159;INTRANET;PORT NUMBER;0;;;;;;;0.00
12160;JAVASERVER PAGE;PORT NUMBER;0;;;;;;;0.00
12161;LINK LAYER;PORT NUMBER;0;;;;;;;0.00
12162;LOCAL AREA NETWORK;PORT NUMBER;0;;;;;;;1.30
12163;MAGNETIC DISK;PORT NUMBER;0;;;;;;;1.00
12164;MAIL SERVER;PORT NUMBER;0;;;;;;;0.00
12165;MALICIOUS SOFTWARE;PORT NUMBER;0;;;;;;;-0.20
12166;MASS STORAGE;PORT NUMBER;0;;;;;;;1.00
12167;METROPOLITAN AREA NETWORK;PORT NUMBER;0;;;;;;;1.30
12168;MNEMONIC ADDRESS;PORT NUMBER;0;;;;;;;0.00
12169;MNEMONIC DOMAIN NAME;PORT NUMBER;0;;;;;;;0.50
12170;NAME SERVER;PORT NUMBER;0;;;;;;;0.00
12171;NETWORK;PORT NUMBER;0;;;;;;;0.00
12172;NETWORK LAYER;PORT NUMBER;0;;;;;;;0.00
12173;NETWORK NEWS TRANSFER PROTOCOL;PORT NUMBER;0;;;;;;;1.25
12174;NETWORK SOFTWARE;PORT NUMBER;0;;;;;;;0.00
12175;OPEN NETWORK;PORT NUMBER;0;;;;;;;0.25
12176;PEER-TO-PEER MODEL;PORT NUMBER;0;;;;;;;1.30
12177;PERSONAL AREA NETWORK;PORT NUMBER;0;;;;;;;1.30
12178;PHISHING;PORT NUMBER;0;;;;;;;-1.00
12179;PHONE NETWORK;PORT NUMBER;0;;;;;;;1.00
12180;PHP;PORT NUMBER;0;;;;;;;0.00
12181;POST OFFICE PROTOCOL VERSION 3;PORT NUMBER;0;;;;;;;0.50
12182;PRINT SERVER;PORT NUMBER;0;;;;;;;1.00
12183;PRIVATE-KEY;PORT NUMBER;0;;;;;;;-1.00
12184;PROTOCOL;PORT NUMBER;0;;;;;;;0.00
12185;PROXY SERVER;PORT NUMBER;0;;;;;;;-1.00
12186;PUBLIC-KEY;PORT NUMBER;0;;;;;;;0.00
12187;PUBLIC-KEY ENCRYPTION;PORT NUMBER;0;;;;;;;-1.00
12188;REGISTERED DOMAIN;PORT NUMBER;0;;;;;;;1.25
12189;REMOTE MAIL SERVER;PORT NUMBER;0;;;;;;;0.50
12190;REMOTE SERVER;PORT NUMBER;0;;;;;;;0.50
12191;REPEATER;PORT NUMBER;0;;;;;;;1.00
12192;ROUTER;PORT NUMBER;0;;;;;;;1.00
12193;SECURE SHELL;PORT NUMBER;0;;;;;;;0.50
12194;SECURE SOCKET LAYER;PORT NUMBER;0;;;;;;;-1.00
12195;SERVER;PORT NUMBER;0;;;;;;;0.00
12196;SERVER SIDE;PORT NUMBER;0;;;;;;;0.00
12197;SERVLETS;PORT NUMBER;0;;;;;;;0.00
12198;SIMPLE MAIL TRANSFER PROTOCOL;PORT NUMBER;0;;;;;;;0.00
12199;SOFTWARE;PORT NUMBER;0;;;;;;;0.00
12200;SPYWARE;PORT NUMBER;0;;;;;;;-1.00
12201;STAR;PORT NUMBER;0;;;;;;;0.25
12202;SUBDOMAINS;PORT NUMBER;0;;;;;;;1.25
12203;SWITCH;PORT NUMBER;0;;;;;;;1.30
12204;TAG;PORT NUMBER;0;;;;;;;0.25
12205;TIER-1 INTERNET SERVICE PROVIDER;PORT NUMBER;0;;;;;;;1.25
12206;TIER-2 INTERNET SERVICE PROVIDER;PORT NUMBER;0;;;;;;;1.25
12207;TIER-3 INTERNET SERVICE PROVIDER;PORT NUMBER;0;;;;;;;1.25
12208;TOP-LEVEL DOMAINS;PORT NUMBER;0;;;;;;;1.25
12209;TRADITIONAL TELEPHONE;PORT NUMBER;0;;;;;;;1.00
12210;TRANSMISSION CONTROL PROTOCOL;PORT NUMBER;0;;;;;;;0.00
12211;TRANSMISSION CONTROL PROTOCOL/INTERNET PROTOCOL NETWORK;PORT NUMBER;0;;;;;;;0.50
12212;TRANSPORT LAYER;PORT NUMBER;0;;;;;;;0.50
12213;TROJAN HORSE;PORT NUMBER;0;;;;;;;-1.00
12214;UNIFORM RESOURCE LOCATOR;PORT NUMBER;0;;;;;;;0.10
12215;USER DATAGRAM PROTOCOL;PORT NUMBER;0;;;;;;;-0.25
12216;VIRUS;PORT NUMBER;0;;;;;;;-1.00
12217;VOICE OVER INTERNET PROTOCOL;PORT NUMBER;0;;;;;;;0.50
12218;WEBSERVER;PORT NUMBER;0;;;;;;;0.00
12219;WIDE AREA NETWORK;PORT NUMBER;0;;;;;;;1.00
12220;WIRELESS NETWORK;PORT NUMBER;0;;;;;;;1.30
12221;WORLD WIDE WEB;PORT NUMBER;0;;;;;;;0.55
12222;WORM;PORT NUMBER;0;;;;;;;-1.00
12223;SECOND GENERATION;PORT NUMBER;0;;;;;;;0.00
12224;EMAIL;PORT NUMBER;0;;;;;;;0.00
12225;CLIENT-SIDE;PORT NUMBER;0;;;;;;;0.00
12226;SERVER-SIDE;PORT NUMBER;0;;;;;;;0.00
12227;SERVLET;PORT NUMBER;0;;;;;;;0.00
12228;WEBSERVERS;PORT NUMBER;0;;;;;;;0.00
12229;4G;PORT NUMBER;0;;;;;;;1.25
12230;ANTIVIRUS SOFTWARE;PORT NUMBER;0;;;;;;;-1.00
12231;SEARCH ENGINE;PORT NUMBER;0;;;;;;;1.00
12232;WIFI NETWORK;PORT NUMBER;0;;;;;;;1.00
12233;1G;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;1.00
12234;3G;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;1.00
12235;ACCESS INTERNET SERVICE PROVIDER;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;-0.50
12236;ACCESS POINT;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;0.00
12237;ACTIVE SERVER PAGE;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;0.00
12238;ADDRESSING SYSTEM;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;0.50
12239;APPLICATION LAYER;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;-0.50
12240;AUDITING SOFTWARE;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;-1.00
12241;BIT PATTERN;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;0.00
12242;BODY;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;0.00
12243;BRIDGE;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;1.00
12244;BROWSER;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;0.00
12245;BUS;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;0.00
12246;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;0.00
12247;CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;0.00
12248;CERTIFICATE;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;-1.00
12249;CERTIFICATE AUTHORITY;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;-1.00
12250;CLIENT;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;0.00
12251;CLIENT SIDE;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;0.00
12252;CLIENT/SERVER MODEL;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;1.00
12253;CLOUD COMPUTING;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;1.00
12254;CLUSTER COMPUTE;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;1.00
12255;COLLISION AVOIDANCE;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;0.00
12256;COLLISION DETECTION;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;0.00
12257;COMPUTER;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;0.00
12258;COMPUTER SYSTEM;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;0.00
12259;CONTENT DELIVERY NETWORK;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;1.00
12260;DENIAL OF SERVICE;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;-1.00
12261;DIGITAL SIGNATURE;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;-1.00
12262;DISTRIBUTED SYSTEM;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;0.20
12263;DOMAIN;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;0.00
12264;DOMAIN NAME;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;0.00
12265;DOMAIN NAME SYSTEM;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;0.00
12266;ENCRYPTION;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;-1.00
12267;END SYSTEM;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;0.00
12268;END USER;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;0.00
12269;ETHERNET NETWORK;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;0.50
12270;EXTENSIBLE MARKUP LANGUAGE;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;0.00
12271;FILE SERVER;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;0.00
12272;FILE TRANSFER PROTOCOL;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;0.00
12273;FIREWALL;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;-1.00
12274;FORWARDING TABLE;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;-0.20
12275;GATEWAY;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;0.00
12276;GRID COMPUTE;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;1.00
12277;HEAD;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;0.50
12278;HIDDEN TERMINAL PROBLEM;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;1.00
12279;HOP COUNT;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;-1.00
12280;HOT SPOT;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;1.00
12281;HUB;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;1.00
12282;HYPERTEXT;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;0.00
12283;HYPERTEXT DOCUMENT;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;0.00
12284;HYPERTEXT MARKUP LANGUAGE;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;0.00
12285;HYPERTEXT TRANSFER PROTOCOL;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;0.00
12286;HYPERTEXT TRANSFER PROTOCOL SERVER;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;0.00
12287;INSTANT MESSAGING;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;1.00
12288;INTERNET;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;0.00
12289;INTERNET INFRASTRUCTURE;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;0.50
12290;INTERNET MAIL ACCESS PROTOCOL;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;0.00
12291;INTERNET PROTOCOL;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;0.00
12292;INTERNET PROTOCOL ADDRESS;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;0.00
12293;INTERNET PROTOCOL NETWORK;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;0.00
12294;INTERNET SERVICE PROVIDER;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;-0.50
12295;INTERNET SOFTWARE;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;0.00
12296;INTERNET2;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;1.00
12297;INTERPROCESS COMMUNICATION;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;1.00
12298;INTRANET;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;0.00
12299;JAVASERVER PAGE;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;0.00
12300;LINK LAYER;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;-0.50
12301;LOCAL AREA NETWORK;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;1.00
12302;MAGNETIC DISK;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;1.00
12303;MAIL SERVER;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;0.00
12304;MALICIOUS SOFTWARE;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;-0.50
12305;MASS STORAGE;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;0.20
12306;METROPOLITAN AREA NETWORK;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;1.00
12307;MNEMONIC ADDRESS;POST OFFICE PROTOCOL VERSION 3;0;;;;;;;0.00
