prerequisite;advanced;m1;m2;m2_sentence;m3;m4;m4a;m4b;m5
FIREWALL;PHP;;0;0;;;;;
FORWARDING TABLE;PHP;;0;0;;;;;
GATEWAY;PHP;;0;0;;;;;
GRID COMPUTE;PHP;;0;0;;;;;
HEAD;PHP;;0;0;;;;;
HIDDEN TERMINAL PROBLEM;PHP;;0;0;;;;;
HOP COUNT;PHP;;0;0;;;;;
HOT SPOT;PHP;;0;0;;;;;
HUB;PHP;;0;0;;;;;
HYPERTEXT;PHP;;0;0;;;;;
HYPERTEXT DOCUMENT;PHP;;0;0;;;;;
HYPERTEXT MARKUP LANGUAGE;PHP;;0;0;;;;;
HYPERTEXT TRANSFER PROTOCOL;PHP;;0;0;;;;;
HYPERTEXT TRANSFER PROTOCOL SERVER;PHP;;0;0;;;;;
INSTANT MESSAGING;PHP;;0;0;;;;;
INTERNET;PHP;;0;0;;;;;
INTERNET INFRASTRUCTURE;PHP;;0;0;;;;;
INTERNET MAIL ACCESS PROTOCOL;PHP;;0;0;;;;;
INTERNET PROTOCOL;PHP;;0;0;;;;;
INTERNET PROTOCOL ADDRESS;PHP;;0;0;;;;;
INTERNET PROTOCOL NETWORK;PHP;;0;0;;;;;
INTERNET SERVICE PROVIDER;PHP;;0;0;;;;;
INTERNET SOFTWARE;PHP;;0;0;;;;;
INTERNET2;PHP;;0;0;;;;;
INTERPROCESS COMMUNICATION;PHP;;0;0;;;;;
INTRANET;PHP;;0;0;;;;;
JAVASERVER PAGE;PHP;;0;0;;;;;
LINK LAYER;PHP;;0;0;;;;;
LOCAL AREA NETWORK;PHP;;0;0;;;;;
MAGNETIC DISK;PHP;;0;0;;;;;
MAIL SERVER;PHP;;0;0;;;;;
MALICIOUS SOFTWARE;PHP;;0;0;;;;;
MASS STORAGE;PHP;;0;0;;;;;
METROPOLITAN AREA NETWORK;PHP;;0;0;;;;;
MNEMONIC ADDRESS;PHP;;0;0;;;;;
MNEMONIC DOMAIN NAME;PHP;;0;0;;;;;
NAME SERVER;PHP;;0;0;;;;;
NETWORK;PHP;;0;0;;;;;
NETWORK LAYER;PHP;;0;0;;;;;
NETWORK NEWS TRANSFER PROTOCOL;PHP;;0;0;;;;;
NETWORK SOFTWARE;PHP;;0;0;;;;;
OPEN NETWORK;PHP;;0;0;;;;;
PEER-TO-PEER MODEL;PHP;;0;0;;;;;
PERSONAL AREA NETWORK;PHP;;0;0;;;;;
PHISHING;PHP;;0;0;;;;;
PHONE NETWORK;PHP;;0;0;;;;;
PORT NUMBER;PHP;;0;0;;;;;
POST OFFICE PROTOCOL VERSION 3;PHP;;0;0;;;;;
PRINT SERVER;PHP;;0;0;;;;;
PRIVATE-KEY;PHP;;0;0;;;;;
PROTOCOL;PHP;;0;0;;;;;
PROXY SERVER;PHP;;0;0;;;;;
PUBLIC-KEY;PHP;;0;0;;;;;
PUBLIC-KEY ENCRYPTION;PHP;;0;0;;;;;
REGISTERED DOMAIN;PHP;;0;0;;;;;
REMOTE MAIL SERVER;PHP;;0;0;;;;;
REMOTE SERVER;PHP;;0;0;;;;;
REPEATER;PHP;;0;0;;;;;
ROUTER;PHP;;0;0;;;;;
SECURE SHELL;PHP;;0;0;;;;;
SECURE SOCKET LAYER;PHP;;0;0;;;;;
SERVER;PHP;;0;0;;;;;
SERVER SIDE;PHP;;0;0;;;;;
SERVLETS;PHP;;0;0;;;;;
SIMPLE MAIL TRANSFER PROTOCOL;PHP;;0;0;;;;;
SOFTWARE;PHP;;0;0;;;;;
SPYWARE;PHP;;0;0;;;;;
STAR;PHP;;0;0;;;;;
SUBDOMAINS;PHP;;0;0;;;;;
SWITCH;PHP;;0;0;;;;;
TAG;PHP;;0;0;;;;;
TIER-1 INTERNET SERVICE PROVIDER;PHP;;0;0;;;;;
TIER-2 INTERNET SERVICE PROVIDER;PHP;;0;0;;;;;
TIER-3 INTERNET SERVICE PROVIDER;PHP;;0;0;;;;;
TOP-LEVEL DOMAINS;PHP;;0;0;;;;;
TRADITIONAL TELEPHONE;PHP;;0;0;;;;;
TRANSMISSION CONTROL PROTOCOL;PHP;;0;0;;;;;
TRANSMISSION CONTROL PROTOCOL/INTERNET PROTOCOL NETWORK;PHP;;0;0;;;;;
TRANSPORT LAYER;PHP;;0;0;;;;;
TROJAN HORSE;PHP;;0;0;;;;;
UNIFORM RESOURCE LOCATOR;PHP;;0;0;;;;;
USER DATAGRAM PROTOCOL;PHP;;0;0;;;;;
VIRUS;PHP;;0;0;;;;;
VOICE OVER INTERNET PROTOCOL;PHP;;0;0;;;;;
WEBSERVER;PHP;;0;0;;;;;
WIDE AREA NETWORK;PHP;;0;0;;;;;
WIRELESS NETWORK;PHP;;0;0;;;;;
WORLD WIDE WEB;PHP;;0;0;;;;;
WORM;PHP;;0;0;;;;;
SECOND GENERATION;PHP;;0;0;;;;;
EMAIL;PHP;;0;0;;;;;
CLIENT-SIDE;PHP;;0;0;;;;;
SERVER-SIDE;PHP;;0;0;;;;;
SERVLET;PHP;;0;0;;;;;
WEBSERVERS;PHP;;0;0;;;;;
4G;PHP;;0;0;;;;;
ANTIVIRUS SOFTWARE;PHP;;0;0;;;;;
SEARCH ENGINE;PHP;;0;0;;;;;
WIFI NETWORK;PHP;;0;0;;;;;
1G;PORT NUMBER;;0;0;;;;;
3G;PORT NUMBER;;0;0;;;;;
ACCESS INTERNET SERVICE PROVIDER;PORT NUMBER;;0;0;;;;;
ACCESS POINT;PORT NUMBER;;0;0;;;;;
ACTIVE SERVER PAGE;PORT NUMBER;;0;0;;;;;
ADDRESSING SYSTEM;PORT NUMBER;;0;0;;;;;
APPLICATION LAYER;PORT NUMBER;;0;0;;;;;
AUDITING SOFTWARE;PORT NUMBER;;0;0;;;;;
BIT PATTERN;PORT NUMBER;;0;0;;;;;
BODY;PORT NUMBER;;0;0;;;;;
BRIDGE;PORT NUMBER;;0;0;;;;;
BROWSER;PORT NUMBER;;0;0;;;;;
BUS;PORT NUMBER;;0;0;;;;;
CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;PORT NUMBER;;0;0;;;;;
CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;PORT NUMBER;;0;0;;;;;
CERTIFICATE;PORT NUMBER;;0;0;;;;;
CERTIFICATE AUTHORITY;PORT NUMBER;;0;0;;;;;
CLIENT;PORT NUMBER;;0;0;;;;;
CLIENT SIDE;PORT NUMBER;;0;0;;;;;
CLIENT/SERVER MODEL;PORT NUMBER;;0;0;;;;;
CLOUD COMPUTING;PORT NUMBER;;0;0;;;;;
CLUSTER COMPUTE;PORT NUMBER;;0;0;;;;;
COLLISION AVOIDANCE;PORT NUMBER;;0;0;;;;;
COLLISION DETECTION;PORT NUMBER;;0;0;;;;;
COMPUTER;PORT NUMBER;;0;0;;;;;
COMPUTER SYSTEM;PORT NUMBER;;0;0;;;;;
CONTENT DELIVERY NETWORK;PORT NUMBER;;0;0;;;;;
DENIAL OF SERVICE;PORT NUMBER;;0;0;;;;;
DIGITAL SIGNATURE;PORT NUMBER;;0;0;;;;;
DISTRIBUTED SYSTEM;PORT NUMBER;;0;0;;;;;
DOMAIN;PORT NUMBER;;0;0;;;;;
DOMAIN NAME;PORT NUMBER;;0;0;;;;;
DOMAIN NAME SYSTEM;PORT NUMBER;;0;0;;;;;
ENCRYPTION;PORT NUMBER;;0;0;;;;;
END SYSTEM;PORT NUMBER;;0;0;;;;;
END USER;PORT NUMBER;;0;0;;;;;
ETHERNET NETWORK;PORT NUMBER;;0;0;;;;;
EXTENSIBLE MARKUP LANGUAGE;PORT NUMBER;;0;0;;;;;
FILE SERVER;PORT NUMBER;;0;0;;;;;
FILE TRANSFER PROTOCOL;PORT NUMBER;;0;0;;;;;
FIREWALL;PORT NUMBER;;0;0;;;;;
FORWARDING TABLE;PORT NUMBER;;0;0;;;;;
GATEWAY;PORT NUMBER;;0;0;;;;;
GRID COMPUTE;PORT NUMBER;;0;0;;;;;
HEAD;PORT NUMBER;;0;0;;;;;
HIDDEN TERMINAL PROBLEM;PORT NUMBER;;0;0;;;;;
HOP COUNT;PORT NUMBER;;0;0;;;;;
HOT SPOT;PORT NUMBER;;0;0;;;;;
HUB;PORT NUMBER;;0;0;;;;;
HYPERTEXT;PORT NUMBER;;0;0;;;;;
HYPERTEXT DOCUMENT;PORT NUMBER;;0;0;;;;;
HYPERTEXT MARKUP LANGUAGE;PORT NUMBER;;0;0;;;;;
HYPERTEXT TRANSFER PROTOCOL;PORT NUMBER;;0;0;;;;;
HYPERTEXT TRANSFER PROTOCOL SERVER;PORT NUMBER;;0;0;;;;;
INSTANT MESSAGING;PORT NUMBER;;0;0;;;;;
INTERNET;PORT NUMBER;;0;0;;;;;
INTERNET INFRASTRUCTURE;PORT NUMBER;;0;0;;;;;
INTERNET MAIL ACCESS PROTOCOL;PORT NUMBER;;0;0;;;;;
INTERNET PROTOCOL;PORT NUMBER;;0;0;;;;;
INTERNET PROTOCOL ADDRESS;PORT NUMBER;;0;0;;;;;
INTERNET PROTOCOL NETWORK;PORT NUMBER;;0;0;;;;;
INTERNET SERVICE PROVIDER;PORT NUMBER;;0;0;;;;;
INTERNET SOFTWARE;PORT NUMBER;;0;0;;;;;
INTERNET2;PORT NUMBER;;0;0;;;;;
INTERPROCESS COMMUNICATION;PORT NUMBER;;0;0;;;;;
INTRANET;PORT NUMBER;;0;0;;;;;
JAVASERVER PAGE;PORT NUMBER;;0;0;;;;;
LINK LAYER;PORT NUMBER;;0;0;;;;;
LOCAL AREA NETWORK;PORT NUMBER;;0;0;;;;;
MAGNETIC DISK;PORT NUMBER;;0;0;;;;;
MAIL SERVER;PORT NUMBER;;0;0;;;;;
MALICIOUS SOFTWARE;PORT NUMBER;;0;0;;;;;
MASS STORAGE;PORT NUMBER;;0;0;;;;;
METROPOLITAN AREA NETWORK;PORT NUMBER;;0;0;;;;;
MNEMONIC ADDRESS;PORT NUMBER;;0;0;;;;;
MNEMONIC DOMAIN NAME;PORT NUMBER;;0;0;;;;;
NAME SERVER;PORT NUMBER;;0;0;;;;;
NETWORK;PORT NUMBER;;0;0;;;;;
NETWORK LAYER;PORT NUMBER;;0;0;;;;;
NETWORK NEWS TRANSFER PROTOCOL;PORT NUMBER;;0;0;;;;;
NETWORK SOFTWARE;PORT NUMBER;;0;0;;;;;
OPEN NETWORK;PORT NUMBER;;0;0;;;;;
PEER-TO-PEER MODEL;PORT NUMBER;;0;0;;;;;
PERSONAL AREA NETWORK;PORT NUMBER;;0;0;;;;;
PHISHING;PORT NUMBER;;0;0;;;;;
PHONE NETWORK;PORT NUMBER;;0;0;;;;;
PHP;PORT NUMBER;;0;0;;;;;
POST OFFICE PROTOCOL VERSION 3;PORT NUMBER;;0;0;;;;;
PRINT SERVER;PORT NUMBER;;0;0;;;;;
PRIVATE-KEY;PORT NUMBER;;0;0;;;;;
PROTOCOL;PORT NUMBER;;0;0;;;;;
PROXY SERVER;PORT NUMBER;;0;0;;;;;
PUBLIC-KEY;PORT NUMBER;;0;0;;;;;
PUBLIC-KEY ENCRYPTION;PORT NUMBER;;0;0;;;;;
REGISTERED DOMAIN;PORT NUMBER;;0;0;;;;;
REMOTE MAIL SERVER;PORT NUMBER;;0;0;;;;;
REMOTE SERVER;PORT NUMBER;;0;0;;;;;
REPEATER;PORT NUMBER;;0;0;;;;;
ROUTER;PORT NUMBER;;0;0;;;;;
SECURE SHELL;PORT NUMBER;;0;0;;;;;
SECURE SOCKET LAYER;PORT NUMBER;;0;0;;;;;
SERVER;PORT NUMBER;;0;0;;;;;
SERVER SIDE;PORT NUMBER;;0;0;;;;;
SERVLETS;PORT NUMBER;;0;0;;;;;
SIMPLE MAIL TRANSFER PROTOCOL;PORT NUMBER;;0;0;;;;;
SOFTWARE;PORT NUMBER;;0;0;;;;;
SPYWARE;PORT NUMBER;;0;0;;;;;
STAR;PORT NUMBER;;0;0;;;;;
SUBDOMAINS;PORT NUMBER;;0;0;;;;;
SWITCH;PORT NUMBER;;0;0;;;;;
TAG;PORT NUMBER;;0;0;;;;;
TIER-1 INTERNET SERVICE PROVIDER;PORT NUMBER;;0;0;;;;;
TIER-2 INTERNET SERVICE PROVIDER;PORT NUMBER;;0;0;;;;;
TIER-3 INTERNET SERVICE PROVIDER;PORT NUMBER;;0;0;;;;;
TOP-LEVEL DOMAINS;PORT NUMBER;;0;0;;;;;
TRADITIONAL TELEPHONE;PORT NUMBER;;0;0;;;;;
TRANSMISSION CONTROL PROTOCOL;PORT NUMBER;;0;0;;;;;
TRANSMISSION CONTROL PROTOCOL/INTERNET PROTOCOL NETWORK;PORT NUMBER;;0;0;;;;;
TRANSPORT LAYER;PORT NUMBER;;0;0;;;;;
TROJAN HORSE;PORT NUMBER;;0;0;;;;;
UNIFORM RESOURCE LOCATOR;PORT NUMBER;;0;0;;;;;
USER DATAGRAM PROTOCOL;PORT NUMBER;;0;0;;;;;
VIRUS;PORT NUMBER;;0;0;;;;;
VOICE OVER INTERNET PROTOCOL;PORT NUMBER;;0;0;;;;;
WEBSERVER;PORT NUMBER;;0;0;;;;;
WIDE AREA NETWORK;PORT NUMBER;;0;0;;;;;
WIRELESS NETWORK;PORT NUMBER;;0;0;;;;;
WORLD WIDE WEB;PORT NUMBER;;0;0;;;;;
WORM;PORT NUMBER;;0;0;;;;;
SECOND GENERATION;PORT NUMBER;;0;0;;;;;
EMAIL;PORT NUMBER;;0;0;;;;;
CLIENT-SIDE;PORT NUMBER;;0;0;;;;;
SERVER-SIDE;PORT NUMBER;;0;0;;;;;
SERVLET;PORT NUMBER;;0;0;;;;;
WEBSERVERS;PORT NUMBER;;0;0;;;;;
4G;PORT NUMBER;;0;0;;;;;
ANTIVIRUS SOFTWARE;PORT NUMBER;;0;0;;;;;
SEARCH ENGINE;PORT NUMBER;;0;0;;;;;
WIFI NETWORK;PORT NUMBER;;0;0;;;;;
1G;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
3G;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
ACCESS INTERNET SERVICE PROVIDER;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
ACCESS POINT;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
ACTIVE SERVER PAGE;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
ADDRESSING SYSTEM;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
APPLICATION LAYER;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
AUDITING SOFTWARE;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
BIT PATTERN;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
BODY;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
BRIDGE;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
BROWSER;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
BUS;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
CERTIFICATE;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
CERTIFICATE AUTHORITY;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
CLIENT;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
CLIENT SIDE;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
CLIENT/SERVER MODEL;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
CLOUD COMPUTING;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
CLUSTER COMPUTE;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
COLLISION AVOIDANCE;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
COLLISION DETECTION;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
COMPUTER;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
COMPUTER SYSTEM;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
CONTENT DELIVERY NETWORK;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
DENIAL OF SERVICE;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
DIGITAL SIGNATURE;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
DISTRIBUTED SYSTEM;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
DOMAIN;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
DOMAIN NAME;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
DOMAIN NAME SYSTEM;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
ENCRYPTION;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
END SYSTEM;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
END USER;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
ETHERNET NETWORK;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
EXTENSIBLE MARKUP LANGUAGE;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
FILE SERVER;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
FILE TRANSFER PROTOCOL;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
FIREWALL;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
FORWARDING TABLE;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
GATEWAY;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
GRID COMPUTE;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
HEAD;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
HIDDEN TERMINAL PROBLEM;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
HOP COUNT;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
HOT SPOT;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
HUB;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
HYPERTEXT;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
HYPERTEXT DOCUMENT;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
HYPERTEXT MARKUP LANGUAGE;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
HYPERTEXT TRANSFER PROTOCOL;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
HYPERTEXT TRANSFER PROTOCOL SERVER;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
INSTANT MESSAGING;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
INTERNET;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
INTERNET INFRASTRUCTURE;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
INTERNET MAIL ACCESS PROTOCOL;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
INTERNET PROTOCOL;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
INTERNET PROTOCOL ADDRESS;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
INTERNET PROTOCOL NETWORK;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
INTERNET SERVICE PROVIDER;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
INTERNET SOFTWARE;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
INTERNET2;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
INTERPROCESS COMMUNICATION;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
INTRANET;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
JAVASERVER PAGE;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
LINK LAYER;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
LOCAL AREA NETWORK;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
MAGNETIC DISK;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
MAIL SERVER;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
MALICIOUS SOFTWARE;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
MASS STORAGE;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
METROPOLITAN AREA NETWORK;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
MNEMONIC ADDRESS;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
MNEMONIC DOMAIN NAME;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
NAME SERVER;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
NETWORK;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
NETWORK LAYER;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
NETWORK NEWS TRANSFER PROTOCOL;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
NETWORK SOFTWARE;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
OPEN NETWORK;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
PEER-TO-PEER MODEL;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
PERSONAL AREA NETWORK;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
PHISHING;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
PHONE NETWORK;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
PHP;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
PORT NUMBER;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
PRINT SERVER;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
PRIVATE-KEY;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
PROTOCOL;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
PROXY SERVER;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
PUBLIC-KEY;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
PUBLIC-KEY ENCRYPTION;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
REGISTERED DOMAIN;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
REMOTE MAIL SERVER;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
REMOTE SERVER;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
REPEATER;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
ROUTER;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
SECURE SHELL;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
SECURE SOCKET LAYER;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
SERVER;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
SERVER SIDE;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
SERVLETS;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
SIMPLE MAIL TRANSFER PROTOCOL;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
SOFTWARE;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
SPYWARE;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
STAR;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
SUBDOMAINS;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
SWITCH;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
TAG;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
TIER-1 INTERNET SERVICE PROVIDER;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
TIER-2 INTERNET SERVICE PROVIDER;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
TIER-3 INTERNET SERVICE PROVIDER;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
TOP-LEVEL DOMAINS;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
TRADITIONAL TELEPHONE;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
TRANSMISSION CONTROL PROTOCOL;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
TRANSMISSION CONTROL PROTOCOL/INTERNET PROTOCOL NETWORK;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
TRANSPORT LAYER;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
TROJAN HORSE;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
UNIFORM RESOURCE LOCATOR;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
USER DATAGRAM PROTOCOL;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
VIRUS;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
VOICE OVER INTERNET PROTOCOL;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
WEBSERVER;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
WIDE AREA NETWORK;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
WIRELESS NETWORK;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
WORLD WIDE WEB;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
WORM;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
SECOND GENERATION;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
EMAIL;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
CLIENT-SIDE;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
SERVER-SIDE;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
SERVLET;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
WEBSERVERS;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
4G;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
ANTIVIRUS SOFTWARE;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
SEARCH ENGINE;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
WIFI NETWORK;POST OFFICE PROTOCOL VERSION 3;;0;0;;;;;
1G;PRINT SERVER;;0;0;;;;;
3G;PRINT SERVER;;0;0;;;;;
ACCESS INTERNET SERVICE PROVIDER;PRINT SERVER;;0;0;;;;;
ACCESS POINT;PRINT SERVER;;0;0;;;;;
ACTIVE SERVER PAGE;PRINT SERVER;;0;0;;;;;
ADDRESSING SYSTEM;PRINT SERVER;;0;0;;;;;
APPLICATION LAYER;PRINT SERVER;;0;0;;;;;
AUDITING SOFTWARE;PRINT SERVER;;0;0;;;;;
BIT PATTERN;PRINT SERVER;;0;0;;;;;
BODY;PRINT SERVER;;0;0;;;;;
BRIDGE;PRINT SERVER;;0;0;;;;;
BROWSER;PRINT SERVER;;0;0;;;;;
BUS;PRINT SERVER;;0;0;;;;;
CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE;PRINT SERVER;;0;0;;;;;
CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION;PRINT SERVER;;0;0;;;;;
CERTIFICATE;PRINT SERVER;;0;0;;;;;
CERTIFICATE AUTHORITY;PRINT SERVER;;0;0;;;;;
CLIENT;PRINT SERVER;;0;0;;;;;
CLIENT SIDE;PRINT SERVER;;0;0;;;;;
CLIENT/SERVER MODEL;PRINT SERVER;;0;0;;;;;
CLOUD COMPUTING;PRINT SERVER;;0;0;;;;;
CLUSTER COMPUTE;PRINT SERVER;;0;0;;;;;
COLLISION AVOIDANCE;PRINT SERVER;;0;0;;;;;
COLLISION DETECTION;PRINT SERVER;;0;0;;;;;
COMPUTER;PRINT SERVER;;0;0;;;;;
COMPUTER SYSTEM;PRINT SERVER;;0;0;;;;;
CONTENT DELIVERY NETWORK;PRINT SERVER;;0;0;;;;;
DENIAL OF SERVICE;PRINT SERVER;;0;0;;;;;
DIGITAL SIGNATURE;PRINT SERVER;;0;0;;;;;
DISTRIBUTED SYSTEM;PRINT SERVER;;0;0;;;;;
DOMAIN;PRINT SERVER;;0;0;;;;;
